,單元,RDS2,RDS2.1,RDS2.2,RDS2.3,RDS2.4,RDS2.5,RDS2.6,RDS2.7,RDS2.8,RDS2.9,RDS2.10,RDS2.11,RDS2.12,RDS2.13,RDS2.14,RDS2.15,RDS2.16,RDS2.17,RDS2.18,RDS2.19,RDS2.20,RDS2.21,RDS2.22,RDS2.23,RDS2.24,RDS2.25,RDS2.26,RDS2.27
189,,,,,,,,,,,,,,,,,,31632.0,,,,,,,,,,,
190,,361.6,438.8,472.8,,555.4,,628.6,,704.4,,769.8,827.0,141.22,129.19,155.0,173.19,33894.0,,114.29,111.9612,111.96176,126.63,1882.87,141.72,161.0,120.71766,,
191,,,,,,,,,,,,,,,,,,36318.0,,,,,,,,,,,
192,,,,,,,,,,,,,,133.25,129.49,158.82,177.31,36590.0,,,111.9643,111.96485,126.16,2090.76,151.46,,121.52,,
193,,,,,,,,,,,,,,,,,,34195.0,,,,,,,,,,,
194,,,,,,,,,,,,,,124.41,129.15,156.5,174.65,34891.0,,,111.961,111.96153,126.66,,147.16,,,,
195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,,,,,,,,,,,,,,,,,,34702.0,,,,,,,,,,,
197,,364.2,436.0,470.6,,553.4,,629.4,,708.6,,779.0,845.6,120.44,128.92000000000002,157.95,175.87,34943.0,,114.2685,111.9617,111.96224,126.55,1763.51,146.38,151.0,121.24,,
198,,,,,,,,,,,,,,,,,,35026.0,,,,,,,,,,,
199,,,,,,,,,,,,,,120.59,128.7,157.39,175.09,35828.0,,,111.9617,111.96225,126.55,1915.87,145.87,,120.78999999999999,,
200,,,,,,,,,,,,,,,,,,36124.0,,,,,,,,,,,
201,,,,,,,,,,,,,,122.28,128.81,157.51,175.32,35462.0,,,111.9622,111.96274,126.48,,149.6,,,,
202,,,,,,,,,,,,,,,,,,35324.0,,,,,,,,,,,
203,,,,,,,,,,,,,,,,,,35245.0,,,,,,,,,,,
204,,361.8,435.4,470.0,,552.6,,625.4,,701.6,,768.0,827.8,125.58,129.75,158.18,176.93,35519.0,,115.179,111.9633,111.96383,126.31,2190.23,149.95,141.0,121.14,,
205,,,,,,,,,,,,,,,,,,34367.0,,,,,,,,,,,
206,,,,,,,,,,,,,,124.98,128.4,157.49,174.89,34690.0,,,111.9627,111.96331,126.39,2202.62,151.4,,121.3,,
207,,,,,,,,,,,,,,,,,,35399.0,,,,,,,,,,,
208,,,,,,,,,,,,,,122.56,128.43,156.9,174.32999999999998,34411.0,,,111.9625,111.96305,126.43,,148.07,,,,
209,,,,,,,,,,,,,,,,,,35622.0,,,,,,,,,,,
210,,,,,,,,,,,,,,,,,,35827.0,,,,,,,,,,,
211,,368.4,437.2,472.0,,554.8,,631.8,,710.2,,779.4,843.6,125.46000000000001,129.28,158.1,176.38,34275.0,,114.5716,111.9636,111.96414,126.26,2357.44,148.13,140.0,121.27,,
212,,,,,,,,,,,,,,,,,,34366.0,,,,,,,,,,,
213,,,,,,,,,,,,,,129.92000000000002,130.02,159.05,178.07,36603.0,,,111.9657,111.96624,125.94,2339.16,150.07999999999998,,122.15,,
214,,,,,,,,,,,,,,,,,,36872.0,,,,,,,,,,,
215,,,,,,,,,,,,,,130.22,129.82999999999998,158.87,177.7,36420.0,,,111.9652,111.96574,126.02,,149.25,,,,
216,,,,,,,,,,,,,,,,,,35567.0,,,,,,,,,,,
217,,,,,,,,,,,,,,,,,,35699.0,,,,,,,,,,,
218,,354.8,431.0,466.4,,550.6,,627.0,,703.8,,769.4,828.0,127.28,129.27,158.14,176.41,36125.0,,114.178,111.9631,111.9637,126.33,2283.45,147.25,164.0,121.4,,
219,,,,,,,,,,,,,,,,,,35492.0,,,,,,,,,,,
220,,,,,,,,,,,,,,129.84,129.56,159.6,178.16,35883.0,,,111.9637,111.96425,126.25,2450.13,151.12,,121.32,,
221,,,,,,,,,,,,,,,,,,35744.0,,,,,,,,,,,
222,,,,,,,,,,,,,,128.13,129.3,159.44,177.74,36149.0,,,111.9639,111.96449,126.21000000000001,,149.49,,,,
223,,,,,,,,,,,,,,,,,,35209.0,,,,,,,,,,,
224,,,,,,,,,,,,,,,,,,35289.0,,,,,,,,,,,
225,,356.8,432.0,470.2,,556.6,,636.0,,713.2,,782.2,845.0,124.39,129.57999999999998,157.87,176.45,35482.0,,115.0243,111.9609,111.96149,126.67,2379.8,151.82,138.0,121.59,,
226,,,,,,,,,,,,,,,,,,35485.0,,,,,,,,,,,
227,,,,,,,,,,,,,,126.36,129.63,157.13,175.76,35128.0,,,111.9635,111.96402,126.28,2299.56,149.96,,121.5,,
228,,,,,,,,,,,,,,,,,,35198.0,,,,,,,,,,,
229,,,,,,,,,,,,,,123.38,129.61,158.16,176.76999999999998,35437.0,,,111.9637,111.96431,126.24,,150.28,,,,
230,,,,,,,,,,,,,,,,,,36076.0,,,,,,,,,,,
231,,,,,,,,,,,,,,,,,,34769.0,,,,,,,,,,,
232,,355.2,426.6,464.6,,554.0,,630.2,,703.6,,767.6,820.2,121.28,129.61,157.24,175.85,34256.0,,114.7829,111.964,111.96461,126.19,2294.32,149.98,162.0,121.7,,
233,,,,,,,,,,,,,,,,,,33978.0,,,,,,,,,,,
234,,,,,,,,,,,,,,118.45,129.82,159.43,178.25,34120.0,,,111.9646,111.96519,126.1,2504.39,151.82999999999998,,121.69,,
235,,,,,,,,,,,,,,,,,,34491.0,,,,,,,,,,,
236,,,,,,,,,,,,,,117.84,131.04,159.69,179.73,35893.0,,,111.9645,111.96504,126.13,,151.43,,,,
237,,,,,,,,,,,,,,,,,,35916.0,,,,,,,,,,,
